ng_range	score	w_comp	vaf_range 	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR	mean_youden
8.0_64.0	0.8	1.0	>=0.25    	152	34	3407	98	4	94	0.608	0.99	0.964	0.598	0.817	0.608	0.697	0.183	0.601
8.0_64.0	0.7	0.5	>=0.25    	161	39	3402	89	4	85	0.644	0.989	0.965	0.633	0.805	0.644	0.716	0.195	0.637
8.0_64.0	0.7	0.4	>=0.25    	168	42	3399	82	4	78	0.672	0.988	0.966	0.66	0.8	0.672	0.73	0.2	0.662
8.0_64.0	0.8	0.8	>=0.25    	163	43	3398	87	4	83	0.652	0.988	0.965	0.64	0.791	0.652	0.715	0.209	0.644
8.0_64.0	0.8	0.9	>=0.25    	155	41	3400	95	4	91	0.62	0.988	0.963	0.608	0.791	0.62	0.695	0.209	0.613
8.0_64.0	0.7	0.4	>=0.375   	142	1	863	58	1	57	0.71	0.999	0.945	0.709	0.993	0.71	0.828	0.007	0.702
8.0_64.0	0.7	0.5	>=0.375   	136	1	863	64	1	63	0.68	0.999	0.939	0.679	0.993	0.68	0.807	0.007	0.674
8.0_64.0	0.7	0.6	>=0.375   	133	1	863	67	1	66	0.665	0.999	0.936	0.664	0.993	0.665	0.797	0.007	0.661
8.0_64.0	0.7	0.7	>=0.375   	128	1	863	72	1	71	0.64	0.999	0.931	0.639	0.992	0.64	0.778	0.008	0.635
8.0_64.0	0.7	0.8	>=0.375   	121	1	863	79	1	78	0.605	0.999	0.925	0.604	0.992	0.605	0.752	0.008	0.6
8.0_64.0	0.7	0.9	>=0.375   	115	1	863	85	1	84	0.575	0.999	0.919	0.574	0.991	0.575	0.728	0.009	0.57
8.0_64.0	0.7	1.0	>=0.375   	108	1	863	92	1	91	0.54	0.999	0.913	0.539	0.991	0.54	0.699	0.009	0.534
8.0_64.0	0.8	0.8	>=0.375   	138	1	863	62	1	61	0.69	0.999	0.941	0.689	0.993	0.69	0.814	0.007	0.684
8.0_64.0	0.8	0.9	>=0.375   	132	1	863	68	1	67	0.66	0.999	0.935	0.659	0.992	0.66	0.793	0.008	0.655
8.0_64.0	0.8	1.0	>=0.375   	129	1	863	71	1	70	0.645	0.999	0.932	0.644	0.992	0.645	0.782	0.008	0.64
8.0_64.0	0.7	0.4	>=0.5     	117	0	627	41	0	41	0.741	1.0	0.948	0.741	1.0	0.741	0.851	0.0	0.739
8.0_64.0	0.7	0.5	>=0.5     	111	0	627	47	0	47	0.703	1.0	0.94	0.703	1.0	0.703	0.826	0.0	0.702
8.0_64.0	0.7	0.6	>=0.5     	108	0	627	50	0	50	0.684	1.0	0.936	0.684	1.0	0.684	0.812	0.0	0.684
8.0_64.0	0.7	0.7	>=0.5     	104	0	627	54	0	54	0.658	1.0	0.931	0.658	1.0	0.658	0.794	0.0	0.657
8.0_64.0	0.7	0.8	>=0.5     	99	0	627	59	0	59	0.627	1.0	0.925	0.627	1.0	0.627	0.771	0.0	0.627
8.0_64.0	0.7	0.9	>=0.5     	94	0	627	64	0	64	0.595	1.0	0.918	0.595	1.0	0.595	0.746	0.0	0.594
8.0_64.0	0.7	1.0	>=0.5     	89	0	627	69	0	69	0.563	1.0	0.912	0.563	1.0	0.563	0.72	0.0	0.562
8.0_64.0	0.8	0.8	>=0.5     	113	0	627	45	0	45	0.715	1.0	0.943	0.715	1.0	0.715	0.834	0.0	0.715
8.0_64.0	0.8	0.9	>=0.5     	108	0	627	50	0	50	0.684	1.0	0.936	0.684	1.0	0.684	0.812	0.0	0.684
8.0_64.0	0.8	1.0	>=0.5     	105	0	627	53	0	53	0.665	1.0	0.932	0.665	1.0	0.665	0.799	0.0	0.664
8.0_64.0	0.7	0.4	>=0.7_0.75	72	0	208	28	0	28	0.72	1.0	0.909	0.72	1.0	0.72	0.837	0.0	0.72
8.0_64.0	0.7	0.5	>=0.7_0.75	70	0	208	30	0	30	0.7	1.0	0.903	0.7	1.0	0.7	0.824	0.0	0.7
8.0_64.0	0.7	0.6	>=0.7_0.75	69	0	208	31	0	31	0.69	1.0	0.899	0.69	1.0	0.69	0.817	0.0	0.69
8.0_64.0	0.7	0.7	>=0.7_0.75	65	0	208	35	0	35	0.65	1.0	0.886	0.65	1.0	0.65	0.788	0.0	0.65
8.0_64.0	0.7	0.8	>=0.7_0.75	63	0	208	37	0	37	0.63	1.0	0.88	0.63	1.0	0.63	0.773	0.0	0.63
8.0_64.0	0.7	0.9	>=0.7_0.75	59	0	208	41	0	41	0.59	1.0	0.867	0.59	1.0	0.59	0.742	0.0	0.59
8.0_64.0	0.7	1.0	>=0.7_0.75	55	0	208	45	0	45	0.55	1.0	0.854	0.55	1.0	0.55	0.71	0.0	0.55
8.0_64.0	0.8	0.8	>=0.7_0.75	71	0	208	29	0	29	0.71	1.0	0.906	0.71	1.0	0.71	0.83	0.0	0.71
8.0_64.0	0.8	0.9	>=0.7_0.75	69	0	208	31	0	31	0.69	1.0	0.899	0.69	1.0	0.69	0.817	0.0	0.69
8.0_64.0	0.8	1.0	>=0.7_0.75	66	0	208	34	0	34	0.66	1.0	0.89	0.66	1.0	0.66	0.795	0.0	0.66
8.0_64.0	0.7	0.4	>=1.0     	37	0	74	13	0	13	0.74	1.0	0.895	0.74	1.0	0.74	0.851	0.0	0.74
8.0_64.0	0.7	0.5	>=1.0     	35	0	74	15	0	15	0.7	1.0	0.879	0.7	1.0	0.7	0.824	0.0	0.7
8.0_64.0	0.7	0.6	>=1.0     	35	0	74	15	0	15	0.7	1.0	0.879	0.7	1.0	0.7	0.824	0.0	0.7
8.0_64.0	0.7	0.7	>=1.0     	33	0	74	17	0	17	0.66	1.0	0.863	0.66	1.0	0.66	0.795	0.0	0.66
8.0_64.0	0.7	0.8	>=1.0     	32	0	74	18	0	18	0.64	1.0	0.855	0.64	1.0	0.64	0.78	0.0	0.64
8.0_64.0	0.7	0.9	>=1.0     	31	0	74	19	0	19	0.62	1.0	0.847	0.62	1.0	0.62	0.765	0.0	0.62
8.0_64.0	0.7	1.0	>=1.0     	29	0	74	21	0	21	0.58	1.0	0.831	0.58	1.0	0.58	0.734	0.0	0.58
8.0_64.0	0.8	0.8	>=1.0     	36	0	74	14	0	14	0.72	1.0	0.887	0.72	1.0	0.72	0.837	0.0	0.72
8.0_64.0	0.8	0.9	>=1.0     	35	0	74	15	0	15	0.7	1.0	0.879	0.7	1.0	0.7	0.824	0.0	0.7
8.0_64.0	0.8	1.0	>=1.0     	33	0	74	17	0	17	0.66	1.0	0.863	0.66	1.0	0.66	0.795	0.0	0.66
