vaf_values	ng_range	score	w_comp	TP	FP	TN	FN	FN_u	FN_o	sens.	spec.	acc.	youden	prec.	recall	F1	FDR
0.1_0.125	4.0_64.0	0.1	0.3	0	200	14936	66	25	41	0.0	0.987	0.983	-0.013	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.3	0	141	9620	44	13	31	0.0	0.986	0.981	-0.014	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.3	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.3	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.3	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.3	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.3	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.3	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.3	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.3	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.3	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.3	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.4	0	158	14978	66	25	41	0.0	0.99	0.985	-0.01	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.4	0	111	9650	44	13	31	0.0	0.989	0.984	-0.011	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.4	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.4	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.4	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.4	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.4	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.4	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.4	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.4	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.4	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.4	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.5	0	126	15010	66	25	41	0.0	0.992	0.987	-0.008	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.5	0	86	9675	44	13	31	0.0	0.991	0.987	-0.009	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.5	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.5	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.5	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.5	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.5	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.5	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.5	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.5	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.5	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.5	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.6	0	105	15031	66	25	41	0.0	0.993	0.989	-0.007	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.6	0	75	9686	44	13	31	0.0	0.992	0.988	-0.008	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.6	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.6	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.6	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.6	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.6	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.6	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.6	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.6	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.6	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.6	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.7	0	65	15071	66	25	41	0.0	0.996	0.991	-0.004	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.7	0	48	9713	44	13	31	0.0	0.995	0.991	-0.005	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.7	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.7	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.7	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.7	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.7	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.7	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.7	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.7	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.7	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.7	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.8	0	59	15077	66	25	41	0.0	0.996	0.992	-0.004	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.8	0	43	9718	44	13	31	0.0	0.996	0.991	-0.004	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.8	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.8	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.8	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.8	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.8	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.8	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.8	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.8	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.8	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.8	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	0.9	0	59	15077	66	25	41	0.0	0.996	0.992	-0.004	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	0.9	0	43	9718	44	13	31	0.0	0.996	0.991	-0.004	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	0.9	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	0.9	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	0.9	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	0.9	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	0.9	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	0.9	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	0.9	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	0.9	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	0.9	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	0.9	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.1	1.0	0	37	15099	66	25	41	0.0	0.998	0.993	-0.002	0.0	0.0	0.0	1.0
0.1_0.125	8.0_64.0	0.1	1.0	0	25	9736	44	13	31	0.0	0.997	0.993	-0.003	0.0	0.0	0.0	1.0
0.25	4.0_64.0	0.1	1.0	0	0	4559	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.1	1.0	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.1	1.0	0	0	438	54	11	43	0.0	1.0	0.89	0.0	0.0	0.0	0.0	1.0
0.375	8.0_64.0	0.1	1.0	0	0	247	36	7	29	0.0	1.0	0.873	0.0	0.0	0.0	0.0	1.0
0.5	4.0_64.0	0.1	1.0	0	0	822	78	11	67	0.0	1.0	0.913	0.0	0.0	0.0	0.0	1.0
0.5	8.0_64.0	0.1	1.0	0	0	447	52	6	46	0.0	1.0	0.896	0.0	0.0	0.0	0.0	1.0
0.7_0.75	4.0_64.0	0.1	1.0	0	0	284	66	9	57	0.0	1.0	0.811	0.0	0.0	0.0	0.0	1.0
0.7_0.75	8.0_64.0	0.1	1.0	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.1	1.0	0	0	166	66	9	57	0.0	1.0	0.716	0.0	0.0	0.0	0.0	1.0
1.0	8.0_64.0	0.1	1.0	0	0	93	44	6	38	0.0	1.0	0.679	0.0	0.0	0.0	0.0	1.0
0.1_0.125	4.0_64.0	0.2	0.0	7	268	14868	59	25	34	0.106	0.982	0.978	0.088	0.025	0.106	0.04	0.975
0.1_0.125	8.0_64.0	0.2	0.0	7	188	9573	37	13	24	0.159	0.981	0.977	0.14	0.036	0.159	0.059	0.964
0.25	4.0_64.0	0.2	0.0	7	21	4538	59	19	40	0.106	0.995	0.983	0.101	0.25	0.106	0.149	0.75
0.25	8.0_64.0	0.2	0.0	6	7	2605	38	9	29	0.136	0.997	0.983	0.133	0.462	0.136	0.21	0.538
0.375	4.0_64.0	0.2	0.0	8	1	437	46	11	35	0.148	0.998	0.904	0.146	0.889	0.148	0.254	0.111
0.375	8.0_64.0	0.2	0.0	5	0	247	31	7	24	0.139	1.0	0.89	0.139	1.0	0.139	0.244	0.0
0.5	4.0_64.0	0.2	0.0	16	13	809	62	11	51	0.205	0.984	0.917	0.189	0.552	0.205	0.299	0.448
0.5	8.0_64.0	0.2	0.0	10	8	439	42	6	36	0.192	0.982	0.9	0.174	0.556	0.192	0.285	0.444
0.7_0.75	4.0_64.0	0.2	0.0	11	6	278	55	9	46	0.167	0.979	0.826	0.146	0.647	0.167	0.265	0.353
0.7_0.75	8.0_64.0	0.2	0.0	6	4	150	38	6	32	0.136	0.974	0.788	0.11	0.6	0.136	0.222	0.4
1.0	4.0_64.0	0.2	0.0	12	6	160	54	9	45	0.182	0.964	0.741	0.146	0.667	0.182	0.286	0.333
1.0	8.0_64.0	0.2	0.0	10	4	89	34	6	28	0.227	0.957	0.723	0.184	0.714	0.227	0.344	0.286
0.1_0.125	4.0_64.0	0.2	0.1	5	251	14885	61	25	36	0.076	0.983	0.979	0.059	0.02	0.076	0.032	0.98
0.1_0.125	8.0_64.0	0.2	0.1	5	176	9585	39	13	26	0.114	0.982	0.978	0.096	0.028	0.114	0.045	0.972
0.25	4.0_64.0	0.2	0.1	4	11	4548	62	19	43	0.061	0.998	0.984	0.059	0.267	0.061	0.099	0.733
0.25	8.0_64.0	0.2	0.1	3	3	2609	41	9	32	0.068	0.999	0.983	0.067	0.5	0.068	0.12	0.5
0.375	4.0_64.0	0.2	0.1	5	1	437	49	11	38	0.093	0.998	0.898	0.091	0.833	0.093	0.167	0.167
0.375	8.0_64.0	0.2	0.1	3	0	247	33	7	26	0.083	1.0	0.883	0.083	1.0	0.083	0.153	0.0
0.5	4.0_64.0	0.2	0.1	8	7	815	70	11	59	0.103	0.991	0.914	0.094	0.533	0.103	0.173	0.467
0.5	8.0_64.0	0.2	0.1	6	4	443	46	6	40	0.115	0.991	0.9	0.106	0.6	0.115	0.193	0.4
0.7_0.75	4.0_64.0	0.2	0.1	6	4	280	60	9	51	0.091	0.986	0.817	0.077	0.6	0.091	0.158	0.4
0.7_0.75	8.0_64.0	0.2	0.1	1	3	151	43	6	37	0.023	0.981	0.768	0.004	0.25	0.023	0.042	0.75
1.0	4.0_64.0	0.2	0.1	5	5	161	61	9	52	0.076	0.97	0.716	0.046	0.5	0.076	0.132	0.5
1.0	8.0_64.0	0.2	0.1	4	3	90	40	6	34	0.091	0.968	0.686	0.059	0.571	0.091	0.157	0.429
0.1_0.125	4.0_64.0	0.2	0.2	3	243	14893	63	25	38	0.045	0.984	0.98	0.029	0.012	0.045	0.019	0.988
0.1_0.125	8.0_64.0	0.2	0.2	3	170	9591	41	13	28	0.068	0.983	0.978	0.051	0.017	0.068	0.027	0.983
0.25	4.0_64.0	0.2	0.2	3	6	4553	63	19	44	0.045	0.999	0.985	0.044	0.333	0.045	0.079	0.667
0.25	8.0_64.0	0.2	0.2	2	1	2611	42	9	33	0.045	1.0	0.984	0.045	0.667	0.045	0.084	0.333
0.375	4.0_64.0	0.2	0.2	4	0	438	50	11	39	0.074	1.0	0.898	0.074	1.0	0.074	0.138	0.0
0.375	8.0_64.0	0.2	0.2	2	0	247	34	7	27	0.056	1.0	0.88	0.056	1.0	0.056	0.106	0.0
0.5	4.0_64.0	0.2	0.2	6	0	822	72	11	61	0.077	1.0	0.92	0.077	1.0	0.077	0.143	0.0
0.5	8.0_64.0	0.2	0.2	5	0	447	47	6	41	0.096	1.0	0.906	0.096	1.0	0.096	0.175	0.0
0.7_0.75	4.0_64.0	0.2	0.2	5	0	284	61	9	52	0.076	1.0	0.826	0.076	1.0	0.076	0.141	0.0
0.7_0.75	8.0_64.0	0.2	0.2	1	0	154	43	6	37	0.023	1.0	0.783	0.023	1.0	0.023	0.045	0.0
1.0	4.0_64.0	0.2	0.2	3	0	166	63	9	54	0.045	1.0	0.728	0.045	1.0	0.045	0.086	0.0
1.0	8.0_64.0	0.2	0.2	3	0	93	41	6	35	0.068	1.0	0.701	0.068	1.0	0.068	0.127	0.0
0.1_0.125	4.0_64.0	0.2	0.3	3	237	14899	63	25	38	0.045	0.984	0.98	0.029	0.013	0.045	0.02	0.987
0.1_0.125	8.0_64.0	0.2	0.3	3	166	9595	41	13	28	0.068	0.983	0.979	0.051	0.018	0.068	0.028	0.982
0.25	4.0_64.0	0.2	0.3	0	4	4555	66	19	47	0.0	0.999	0.985	-0.001	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.3	0	1	2611	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.3	3	0	438	51	11	40	0.056	1.0	0.896	0.056	1.0	0.056	0.106	0.0
0.375	8.0_64.0	0.2	0.3	2	0	247	34	7	27	0.056	1.0	0.88	0.056	1.0	0.056	0.106	0.0
0.5	4.0_64.0	0.2	0.3	3	0	822	75	11	64	0.038	1.0	0.917	0.038	1.0	0.038	0.073	0.0
0.5	8.0_64.0	0.2	0.3	2	0	447	50	6	44	0.038	1.0	0.9	0.038	1.0	0.038	0.073	0.0
0.7_0.75	4.0_64.0	0.2	0.3	3	0	284	63	9	54	0.045	1.0	0.82	0.045	1.0	0.045	0.086	0.0
0.7_0.75	8.0_64.0	0.2	0.3	1	0	154	43	6	37	0.023	1.0	0.783	0.023	1.0	0.023	0.045	0.0
1.0	4.0_64.0	0.2	0.3	3	0	166	63	9	54	0.045	1.0	0.728	0.045	1.0	0.045	0.086	0.0
1.0	8.0_64.0	0.2	0.3	3	0	93	41	6	35	0.068	1.0	0.701	0.068	1.0	0.068	0.127	0.0
0.1_0.125	4.0_64.0	0.2	0.4	2	233	14903	64	25	39	0.03	0.985	0.98	0.015	0.009	0.03	0.014	0.991
0.1_0.125	8.0_64.0	0.2	0.4	2	163	9598	42	13	29	0.045	0.983	0.979	0.028	0.012	0.045	0.019	0.988
0.25	4.0_64.0	0.2	0.4	0	3	4556	66	19	47	0.0	0.999	0.985	-0.001	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.4	0	1	2611	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.4	1	0	438	53	11	42	0.019	1.0	0.892	0.019	1.0	0.019	0.037	0.0
0.375	8.0_64.0	0.2	0.4	1	0	247	35	7	28	0.028	1.0	0.876	0.028	1.0	0.028	0.054	0.0
0.5	4.0_64.0	0.2	0.4	1	0	822	77	11	66	0.013	1.0	0.914	0.013	1.0	0.013	0.026	0.0
0.5	8.0_64.0	0.2	0.4	1	0	447	51	6	45	0.019	1.0	0.898	0.019	1.0	0.019	0.037	0.0
0.7_0.75	4.0_64.0	0.2	0.4	1	0	284	65	9	56	0.015	1.0	0.814	0.015	1.0	0.015	0.03	0.0
0.7_0.75	8.0_64.0	0.2	0.4	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	0.4	3	0	166	63	9	54	0.045	1.0	0.728	0.045	1.0	0.045	0.086	0.0
1.0	8.0_64.0	0.2	0.4	3	0	93	41	6	35	0.068	1.0	0.701	0.068	1.0	0.068	0.127	0.0
0.1_0.125	4.0_64.0	0.2	0.5	2	219	14917	64	25	39	0.03	0.986	0.981	0.016	0.009	0.03	0.014	0.991
0.1_0.125	8.0_64.0	0.2	0.5	2	157	9604	42	13	29	0.045	0.984	0.98	0.029	0.013	0.045	0.02	0.987
0.25	4.0_64.0	0.2	0.5	0	2	4557	66	19	47	0.0	1.0	0.985	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.5	0	1	2611	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.5	1	0	438	53	11	42	0.019	1.0	0.892	0.019	1.0	0.019	0.037	0.0
0.375	8.0_64.0	0.2	0.5	1	0	247	35	7	28	0.028	1.0	0.876	0.028	1.0	0.028	0.054	0.0
0.5	4.0_64.0	0.2	0.5	1	0	822	77	11	66	0.013	1.0	0.914	0.013	1.0	0.013	0.026	0.0
0.5	8.0_64.0	0.2	0.5	1	0	447	51	6	45	0.019	1.0	0.898	0.019	1.0	0.019	0.037	0.0
0.7_0.75	4.0_64.0	0.2	0.5	1	0	284	65	9	56	0.015	1.0	0.814	0.015	1.0	0.015	0.03	0.0
0.7_0.75	8.0_64.0	0.2	0.5	0	0	154	44	6	38	0.0	1.0	0.778	0.0	0.0	0.0	0.0	1.0
1.0	4.0_64.0	0.2	0.5	3	0	166	63	9	54	0.045	1.0	0.728	0.045	1.0	0.045	0.086	0.0
1.0	8.0_64.0	0.2	0.5	3	0	93	41	6	35	0.068	1.0	0.701	0.068	1.0	0.068	0.127	0.0
0.1_0.125	4.0_64.0	0.2	0.6	2	203	14933	64	25	39	0.03	0.987	0.982	0.017	0.01	0.03	0.015	0.99
0.1_0.125	8.0_64.0	0.2	0.6	2	144	9617	42	13	29	0.045	0.985	0.981	0.03	0.014	0.045	0.021	0.986
0.25	4.0_64.0	0.2	0.6	0	1	4558	66	19	47	0.0	1.0	0.986	0.0	0.0	0.0	0.0	1.0
0.25	8.0_64.0	0.2	0.6	0	0	2612	44	9	35	0.0	1.0	0.983	0.0	0.0	0.0	0.0	1.0
0.375	4.0_64.0	0.2	0.6	1	0	438	53	11	42	0.019	1.0	0.892	0.019	1.0	0.019	0.037	0.0
0.375	8.0_64.0	0.2	0.6	1	0	247	35	7	28	0.028	1.0	0.876	0.028	1.0	0.028	0.054	0.0
